german,spanish,chapter,box
Schilder,señales,1,1
erlauben,admitir,1,1
verboten sein,estar prohibido,1,2
höflich,cortés,1,2
anständig,respetable,1,1
loben,elogiar,1,1
täuschen,engañar,1,1
schlecht bezahlt,mal remunerados,1,1
starten,lanzar,1,2
vermeiden,prevenir,1,1
bekämpfen,combatir,1,1
"so tun, als ob",fingir,1,1
verlangsamen,frenar,1,1
Minderheit,minoritaria,1,1
Vermittlung,conciliación,1,1
investieren,invertir,1,2
erlauben,admitir,1,1
umlaufen,circular,1,1
die Drohne,el dron,1,1
füttern,dar de comida,1,1
berühren,tocar,1,1
Kontakte knüpfen,relacionarse,1,2
zum Vergnügen,por placer,1,2
zum Studium,por estudios,1,1
vermeiden,evitar,1,1
der Kulturschock,el choque cultural,1,2
Gastgeber,anfitrión/anfitriona,1,2
den Tisch abräumen,recoger la mesa,1,2
sich unterhalten,conversar,1,1
sich bedanken,agradecer,1,1
klingeln,tocar el timbre,1,1
Verkäufer,vendedor/vendedora,1,2
näherkommen,acercarse,1,1
Wie kann ich dir helfen?,en qué te puedo ayudar?,1,1
die Mütze,la gorra,1,1
das Schaufenster,la vidriera,1,1
entschuldigen,disculpar,1,2
der Kellner,el camarero,1,1
ablehnen,rechazar,1,2
eine Ausrede vorbringen,poner una excusa,1,1
"die Entschuldigung, Ausrede",la excusa,1,1
außer wenn,excepto si,1,2
darauf bestehen,insistir,1,1
schnell,rápidamente,1,1
die Begeisterung,el entusiasmo,1,1
"die Spitze, das Mundstück",el pico,1,1
das Trinkrohr (Mate),la bombilla,1,1
trinken,tomar,1,1
"vorsichtig, langsam",despacito,1,1
plaudern,charlar,1,1
oft,frecuentemente,1,1
halten,sostener,1,1
sich treffen,juntarse,1,1
sich Nachrichten schreiben,mensajearse,1,1
"etwas reparieren, ordnen, erledigen",arreglar algo,1,2
"geräuschvoll, klangvoll",sonoro,1,1
die Wange,la mejilla,1,1
annähern,acercar,1,2
überraschen,sorprender,1,1
der Ratschlag,el consejo,1,1
die Antwort,la repuesta,1,2
mitarbeiten,colaborar,1,1
schneiden,cortar,1,2
vorgesehen,previsto,1,1
"unvorhergesehen, ungeplant",imprevisto,1,1
vor allem,sobre todo,1,1
im Allgemeinen,en general,1,2
mittleren Alters,de medina edad,1,1
Achtung,atención,1,1
"der Termin, die Verabredung",la cita,1,1
öffentlich,público,1,1
"angemessen, ratsam, bequem, praktisch",conveniente,1,2
duzen,tutear,1,1
"die Anrede, die Behandlung, die Therapie",el tratamiento,1,1
pünktlich,puntual,1,2
in vielen Fällen,en muchos casos,1,1
"da, denn, weil",ya que,1,1
"einfach, nur",simplemente,1,2
"deshalb, daher",por eso,1,1
Distanz wahren,marcar distancia,1,1
förmlich,formal,1,1
außerdem,además,1,1
sich erinnern,recordar,1,1
"die Form, die Weise, das Formular",la forma,1,1
"unbedingt, zwangsläufig, unverzichtbar",necesariamente,1,1
"kassieren, erheben",cobrar,1,2
die Norm,la norma,1,1
"um, herum, ringsum",alrededor,1,1
"schüchtern, ängstlich",tímidamente,1,2
"nur, auschließlich",únicamente,1,1
die Verwandten,los familiares,1,1
der Kontext,el contexto,1,2
unhöflich,descortés,1,1
"behalten, beibehalten, halten",retener,1,1
"loben, würdigen",elogiar,1,1
teilen,compartir,1,1
"zu sehr, zu viel",demasiado,1,2
"irritierend, störend",irritante,1,1
"beleidigend, verletzend, anstößig",ofensivo,1,2
die anderen,los demás,1,1
der Vorschlag,la propuesta,1,2
sich verabschieden,despedirse,1,1
spontan,espontáneo,1,1
"üblich, häufig",habitual,1,1
"einschließlich, inklusive",incluso,1,1
die Lippen,los labios,1,1
"etwas beenden, aufhören",acabar de,1,1
die Einrichtung,el establecimiento,1,1
bleiben,quedarse,1,1
Kaugummi kauen,mascar chicle,1,1
"online, verbunden, angeschlossen, eingeschaltet",conectado,1,2
der Taschenrechner,la calculadora,1,2
"konsultieren, überprüfen, fragen",consultar,1,2
auch nicht,tampoco,1,2
"ausgeschaltet, stummgeschaltet",apagado,1,1
das Haustier,la mascota,1,2
der Sonnenschirm,la sombrilla,1,1
der Sonnenschirm,el parasol,1,1
der Regenschirm,el paragua,1,2
der (Tennis)Schläger,la pala,1,1
der Lautsprecher,el altavoz,1,1
live,en directo,1,2
verpflichtend,obligatoria,1,1
die Badehose,el calzado de baño,1,1
"hinlegen, hinstellen, platzieren",colocar,1,2
"die Erlaubnis, der Urlaub",el permiso,1,1
Recht haben,tener derecho,1,2
Mutterschaftsurlaub,la baja por maternidad/paternidad,1,1
das Personal,el personal,1,1
das Gehalt,el salario,1,1
wöchentlich,semanalmente,1,1
"das Amt, Büro",el despacho,1,1
die Kindertagesstätte,la guardería,1,1
der Arbeitstag,la jornada,1,1
"der Raum, Bereich",el espacio,1,2
das Ufer,la orilla,1,1
campen,acampar,1,1
der Roller,el patinete,1,2
der Sand,la arena,1,2
die Hängematte,la hamaca,1,2
der Liegestuhl,la tumbona,1,2
sichtlich,visiblemente,1,1
Wasser-(Sport),náutico,1,2
verrostet,oxidado,1,1
müssen,deber,1,1
zuerst,primero,1,2
logisch,lógico,1,1
täglich,diario,1,2
fast,casi,1,1
der Brauch,la costumbre,1,1
"sich zurechtmachen, verwalten",arreglarse,1,1
gut/schlecht angesehen,bien/mal visto,1,2
häufig,frecuente,1,1
die Hälfte,la mitad,1,2
niemand,nadie,1,1
der Lohn,el sueldo,1,2
"die Pause, Erholung",el descanso,1,2
der Urlaubstag,el día de permiso,1,1
die Krankheit,la enfermedad,1,1
danken,dar las gracias,1,1
entprechen,equivaler,1,1
"meinen, glauben",opinar,1,1
raten,aconsejar,1,2
"schätzen, bewerten, beurteilen, abwägen",valorar,1,1
interviewen,entrevistar,1,2
"betrachten, überlegen, bedenken",considerar,1,1
unhöflich,maleducado,1,1
mit einer Geldstrafe belegen,multar,1,1
"gewisser, sicher, richtig",cierto,1,1
das Kompliment,el cumplido,1,1
ein Kompliment machen,hacer un cumplido,1,1
die Gewohnheit,el hábito,1,1
die Respektlosigkeit,la falta de respeto,1,1
ableiten von,derivar,1,1
endlich,por fin,1,1
das Gelände,el recinto,1,1
der Beleg,el tique de compra,1,1
die Struktur,la estructura,1,2
die Bedingung,la condición,1,2
"der Guide, Handbuch",la guía,1,2
kurz,brevemente,1,2
mehrere,varios,1,1
übereinstimmen,coincidir,1,1
versuchen,tratar de,1,1
bereichern,enriquecer,1,1
Notizen machen,tomar notas,1,2
faul,perezoso,1,1
der Eindruck,la impresión,1,1
"sich fühlen, sich treffen, sich befinden",encontrarse,1,1
engagiert,comprometido,1,2
"geeignet, angemessen",apropiado,1,1
etwas leiten,dirigir algo,1,1
das Mitglied,el socio,1,1
der Straßengraben,la cuneta,1,1
"leiten, besorgen, betreiben",gestionar,1,2
"gelgentlich, hin und wieder",de vez en cuando,1,1
der Schrecken,el susto,1,1
der Krankenpfleger,el enfermero,1,1
das Erlebnis,la vivencia,1,1
"gerecht, fair, gleichberechtigt",equitativo,1,1
unterkommen,alojarse,1,1
kommandieren,estar al mando,1,2
"sich trauen, wagen",atreverse,2,1
"verfügen, anordnen",disponer,2,1
die Maßnahme,la medida,2,1
"das Meeting, das Treffen",la reunión,2,1
"genügen, ausreichen",bastar,2,1
sich beschweren,quejarse,2,1
Nichzahlung,el impago,2,1
die Befragung,la encuesta,2,1
"die Einberufung, der Aufruf",la convocatoria,2,1
fordern,exigir,2,1
"erreichbar, erschwinglich",asequible,2,1
"beschädigen, zerstören",estropear,2,1
der Zwischenfall,el contratiempo,2,1
"drücken, anschlagen",pulsar,2,1
das Gemeinschaftseigentum,el condominio,2,1
überschreiten,traspasar,2,1
das Rätsel,el enigma,2,1
"stören, behindern",estorbar,2,1
die Entschädigung,la indemnización,2,1
der Beauftragte,el encargado,2,1
überwachen,vigilar,2,1
"ärgern, jmd verärgern, nervös machen",fastidiar,2,1
Lederhose,el pantalón de cuero,2,1
der Helm,el casco,2,1
das Grafiti,las pintadas,2,1
flüstern,cuchichear,2,1
"nett, freundlich",majo,2,1
nichts verstehen,no entender ni jota,1,1
schwanger,embarazada,1,1
Fähigkeiten,habilidad,1,1
"erreichen, verwirklichen",alcanzar,2,1
